,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
L5,32KXIN/32KCLKIN,,32KXIN,32KCLKIN,GPIOE7,,,,32KXIN,,PIO,,,,,,GIRQ11,11,##,,,chip,,,,,,,,,,,,,,,,,
M5,32KXOUT,,32KXOUT,,,,,,32KXOUT,,PIO,,,,,,GIRQ11,10,##,,,chip,,,,,,,,,,,,,,,,,
D1,AVCC,,AVCC,,,,,,AVCC,,PIO,,,,,,GIRQ9,20,##,,,chip,,,,,,,,,,,,,,,,,
E1,AVSS,,AVSS,,,,,,AVSS,,PWR,,,,,,,,##,,,chip,,,,,,,,,,,,,,,,,
A6,CAP,,CAP,,,,,,CAP,,PIO,,,,,,GIRQ8,18,##,,,chip,,,,,,,,,,,,,,,,,
G11,F_CS0#/FLM_CSIO#/GPIOA0,VSPI,F_CS0#,FLM_CSIO#,GPIOA0,,,,F_CS0#,,PIO,,,,,,GIRQ9,0,##,,SPI_EC_ROM_CS0#,SYS_BUS,FLM,,,,,,,,,,,,J3,7,,,"Quad SPI Controller Chip Select, Shared SPI port. 172x: Boot Source select strap, must use as RSMRST# for MAFS."
H11,F_DIO0/FLM_DI0/GPIOA4/TB1,VSPI,F_DIO0,FLM_DI0,GPIOA4,TB1,,,F_DIO0,,PIO,,,,,,GIRQ11,15,##,,SPI_EC_ROM_D0,SYS_BUS,FLM,,,,,,,,,,,,J1,24,,,"Quad SPI Controller Data 0, Shared SPI port"
G12,F_DIO1/FLM_DI1/GPIO96,VSPI,F_DIO1,FLM_DI1,GPIO96,,,,F_DIO1,,PWR,,,,,,,,##,,SPI_EC_ROM_D1,SYS_BUS,FLM,,,,,,,,,,,,J1,20,,,"Quad SPI Controller Data 1, Shared SPI port"
F12,F_SCLK/FLM_SCLK/GPIOA2,VSPI,F_SCLK,FLM_SCLK,GPIOA2,,,,F_SCLK,,PWR,,,,,,,,##,,SPI_EC_ROM_CLK,SYS_BUS,FLM,,,,,,,,,,,,J1,18,,,"Quad SPI Controller Clock, Shared SPI port"
E6,GPIO01/PSL_IN3#,VCIO,GPIO01,PSL_IN3#,,,,,,,PIO,,,,,,GIRQ9,18,##,,LID_CLOSE#_3V3,GPIO,GPIO,,INPUT,,,,,,,GIO4,2,LID_CLOSE_Handler,,,,,"Notify EC that Lid is closed, low active"
F7,GPIO02/PSL_IN4#,VCIO,GPIO02,PSL_IN4#,,,,,,,PIO,,,,,,GIRQ10,7,##,,GPIO02,UNUSED,GPIO,,,,,,,,,,,,,,,,
E4,GPIO32/TRIS#,VCC1,GPIO32,TRIS#,,,,,,,PIO,,,,,,GIRQ10,5,##,,GPIO32,UNUSED,GPIO,,,,,,,,,,,,J5,29,,,
D5,GPIO33/I2C5_SCL0/CTS#,VCC1,GPIO33,I2C5_SCL0,CTS#,,,,,,PIO,,,,,,GIRQ10,16,##,,SYS_RST#,PWRSEQ,GPIO,,OD_1,,,,,,,,,,J4,7,,,"EC to cold reset APU, low active"
B2,GPIO34/PS2_DAT2/AD6,VCC1,GPIO34,PS2_DAT2,AD6,,,,,,PIO,,,,,,GIRQ10,9,##,,EC_FN_LED,GPIO,GPIO,,O_0,,,,,,,,,,J6,23,,,"To light FN LED,  high active"
K2,GPIO35/CR_SOUT4/TEST#,VCC1,GPIO35,CR_SOUT4,TEST#,,,,,,PIO,,,,,,GIRQ12,18,##,,GPIO35,UNUSED,GPIO,,,,,,,,,,,,J5,27,,,
D4,GPIO36/I2C5_SDA0/RTS#,VCC1,GPIO36,I2C5_SDA0,RTS#,,,,,,PIO,,,,,,GIRQ10,15,##,,GPIO36,UNUSED,GPIO,,,,,,,,,,,,J4,13,,,
C1,GPIO37/PS2_CLK2/AD5,VCC1,GPIO37,GPIO37,AD5,,,,,,PIO,,,,,,GIRQ11,7,##,,EC_M2_BT_WAKE,GPIO,GPIO,,O_0,,,,,,,GIO2,5,,J6,19,,,EC to wake Blue Tooth module. high active
E5,GPIO40/TA1,VCC1,GPIO40,TA1,,,,,,,PIO,,,,,,GIRQ10,6,##,,EC_TACH0,THERMAL,TA0,,INPUT,,,,,,,,,,J4,9,,,"Notify EC, FAN's tachometer, low active"
C2,GPIO41/AD4,AVCC,GPIO41,AD4,,,,,,,PIO,,,,,,GIRQ8,15,##,,EC_CHG_ORG_LED,GPIO,GPIO,,O_0,,,,,,,,,,J6,17,GIO33_8,,"To light this LED when BAT is in ""Charging"".  High active"
D3,GPIO42/AD3/RI#,AVCC,GPIO42,AD3,RI#,,,,,,PIO,,,,,,GIRQ8,29,##,,WLAN_IO33#_IO18_SEL,GPIO,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO0,0,WLAN_IO33_IO18_SEL_Handler,J6,13,GPIO33_6,,"Reserved. Notify EC that 3.3V/1.8V WWAN module installed.  High- 1.8V WWAN, Low- 3.3V WWAN.  "
E2,GPIO43/AD2,AVCC,GPIO43,AD2,,,,,,,I,,,,,,GIRQ8,19,##,,EC_CHG_WHITE_LED,GPIO,GPIO,,O_0,,,,,,,,,,J6,11,GPIO33_5,,"To light this LED when BAT is in ""Charge Full"".  High active"
E3,GPIO44/AD1,AVCC,GPIO44,AD1,,,,,,,PIO,,,,,,GIRQ8,4,##,,EC_TPM_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO3,6,,J6,9,GIO33_4,,"EC to enable TPM power, high active"
F2,GPIO45/AD0,AVCC,GPIO45,AD0,,,,,,,PIO,,,,,,GIRQ8,2,##,,GPIO45,UNUSED,GPIO,,,,,,,,,,,,,,,,"Clear CMOS by EC, high active.  Always keep low. "
G10,GPIO50/I3C2_SDA,VHIF,GPIO50,I3C2_SDA,,,,,,,PWR,,,,,,,,##,,SPI_APU_EC_ROM_GNT,SYS_BUS,GPIO,,,BOTH_EDGE,PWR_OFF,,,,,,,SPI_ROM_GNT_Handler,J1,1,,,SPI bus grant from APU to EC
M2,GPIO56/CLKRUN#/I3C2_SCL,VHIF,GPIO56,CLKRUN#,I3C2_SCL,,,,,,PIO,,,,,,GIRQ11,14,##,,SPI_EC_APU_ROM_REQ,SYS_BUS,GPIO,PD,,,,,,,,,,,J1,3,,,EC to notify APU that EC need to use ROM.
G6,GPIO60/PWM7,VCIO,GPIO60,PWM7,,,,,,,PWR,,,,,,,,##,,EC_WLAN_WIFI_RST,GPIO,GPIO,,O_0,,,,,,,GIO3,2,,J6,7,GPIO33_3,,"To reset WLAN module, high active"
K4,GPIO61/PWROFF#,VCIO,GPIO61,PWROFF#,,,,,,,PIO,,,,,,GIRQ11,16,##,,EC_SLP_S5#,PWRSEQ,GPIO,,O_0,,,,,,,,,,J3,19,,,EC to enable/disable system S5 power rails.
H2,GPIO62/PS2_CLK1/AD16,VCIO,GPIO62,PS2_CLK1,AD16,,,,,,PIO,,,,,,GIRQ10,4,##,,TPNL_EN_CONN,GPIO,GPIO,,O_0,,,,,,,GIO3,4,,J6,3,GPIO33_1,,Reserve
J2,GPIO63/PS2_DAT1/AD17/INTRUDER2#,VCIO,GPIO63,PS2_DAT1,AD17,INTRUDER2#,,,,,PIO,,,,,,GIRQ10,2,##,,EC_WLAN_AUX_RST#,PWRSEQ,GPIO,,O_0,,PWR_OFF,000008h/00000Ch,,,,GIO3,5,,J6,1,GIO33_0,,"EC will keep S0 PCIe aux reset status during go into or resume from S0i3, this is to save and restore original device status. PCIe global reset will be used for PCIe trainging sequence (parallel mode) control."
G4,GPIO64/CR_SIN1,VCIO,GPIO64,CR_SIN1,,,,,,In-PU,PIO,,,,,,GIRQ8,24,##,,EC_USBCAM_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO2,3,,,,,,"EC to enable USB CAM power, high active"
H4,GPIO65/CR_SOUT1/FLPRG1#,VCIO,GPIO65,CR_SOUT1,FLPRG1#,,,,,,PIO,,,,,,GIRQ11,30,##,,GPIO65,UNUSED,GPIO,,,,,,,,,,,,,,,,
G2,GPIO66,VCIO,GPIO66,,,,,,,,PIO,,,,,,GIRQ8,25,##,,EC_ARM,UNUSED,GPIO,,,,,,,,,,,,,,,,
J3,GPIO67/PS2_CLK0/AD18,VCIO,GPIO67,PS2_CLK0,AD18,,,,,,PIO,,,,,,GIRQ10,3,##,,BOARD_ID0,GPIO,GPIO,,INPUT,,,,,,,,,,J6,25,,,board id detect gpio0
J4,GPIO70/PS2_DAT0/AD19,VCIO,GPIO70,PS2_DAT0,AD19,,,,,,PWR,,,,,,,,##,,BOARD_ID1,GPIO,GPIO,,INPUT,,,,,,,,,,J6,27,,,board id detect gpio1
G5,GPIO73/TA2,VCC1,GPIO73,TA2,,,,,,,PIO,,,,,,GIRQ26,0,##,,MPM_EVENT#,PWRSEQ,GPIO,,OD_1,,PWR_OFF,000008h/00000Ch,,,,,,,J4,8,GPIO33_20,,"Wireless Manageability Processor interrupt, low active"
H5,GPIO74/AD23,VCC1,GPIO74,AD23,,,,,,,PIO,,,,,,GIRQ12,3,##,,EC_SLP_S3_S0A3#,PWRSEQ,GPIO,,O_0,,,,,,,,,,J3,17,,,EC to enable/disable system S0 power rails.
