Device Address,Command code,W/R,Page0.Command name,Page0.Byte,Page0.Value,Page1.Command name,Page1.Byte,Page1.Value,Page2.Command name,Page2.Byte,Page2.Value,Page3.Command name,Page3.Byte,Page3.Value,Page4.Command name,Page4.Byte,Page4.Value,,,
0x20,0x00,RW,PAGE,1,0x00,PAGE,1,0x01,PAGE,1,0x02,PAGE,1,0x03,PAGE,1,0x04,,,
0x20,0x01,RW,OPERATION,1,0x80,OPERATION,1,0x80,OPERATION,1,0x80,OPERATION,1,0x80,,,,,,
0x20,0x02,RW,ON_OFF_CONFIG,1,0x1F,ON_OFF_CONFIG,1,0x1F,ON_OFF_CONFIG,1,0x1F,ON_OFF_CONFIG,1,0x1F,,,,,,
0x20,0x10,RW,WRITE_PROTECT,1,0x00,,,,,,,,,,,,,,,
0x20,0x1B,RW,SMBALERT_MASK,2,0x0000,,,,,,,,,,,,,,,
0x20,0x21,RW,VOUT_COMMAND,2,0x00A0,VOUT_COMMAND,2,0x00A0,VOUT_COMMAND,2,0x00A0,VOUT_COMMAND,2,0x00A0,,,,,,
0x20,0x22,RW,MFR_VOUT_TRIM,2,0x0000,MFR_VOUT_TRIM,2,0x0000,MFR_VOUT_TRIM,2,0x0000,MFR_VOUT_TRIM,2,0x0000,,,,,,
0x20,0x23,RW,VOUT_CAL_OFFSET,2,0x0000,VOUT_CAL_OFFSET,2,0x0000,VOUT_CAL_OFFSET,2,0x0000,VOUT_CAL_OFFSET,2,0x0000,,,,,,
0x20,0x24,RW,VOUT_MAX,2,0x004E,VOUT_MAX,2,0x004E,VOUT_MAX,2,0x004E,VOUT_MAX,2,0x004E,,,,,,
0x20,0x25,RW,VOUT_MARGIN_HIGH,2,0x0000,VOUT_MARGIN_HIGH,2,0x0000,VOUT_MARGIN_HIGH,2,0x0000,VOUT_MARGIN_HIGH,2,0x0000,,,,,,
0x20,0x26,RW,VOUT_MARGIN_LOW,2,0x0000,VOUT_MARGIN_LOW,2,0x0000,VOUT_MARGIN_LOW,2,0x0000,VOUT_MARGIN_LOW,2,0x0000,,,,,,
0x20,0x28,RW,VOUT_DROOP,2,0x0028,VOUT_DROOP,2,0x0028,VOUT_DROOP,2,0x0028,VOUT_DROOP,2,0x0028,,,,,,
0x20,0x2B,RW,VOUT_MIN,2,0x0000,VOUT_MIN,2,0x0000,VOUT_MIN,2,0x0000,VOUT_MIN,2,0x0000,,,,,,
0x20,0x35,RW,VIN_ON,2,0x0026,PH1_VIN_ON,2,0x0018,,,,,,,,,,,,
0x20,0x36,RW,VIN_OFF,2,0x0022,PH1_VIN_OFF,2,0x0014,,,,,,,,,,,,
0x20,0x38,RW,IOUT_CAL_GAIN,2,0x00CD,IOUT_CAL_GAIN,2,0x00CD,IOUT_CAL_GAIN,2,0x00CD,IOUT_CAL_GAIN,2,0x00CD,,,,,,
0x20,0x39,RW,IOUT_CAL_OFFSET,2,0x0000,IOUT_CAL_OFFSET,2,0x0000,IOUT_CAL_OFFSET,2,0x0000,IOUT_CAL_OFFSET,2,0x0000,,,,,,
0x20,0x46,RW,OCP_THRESHOLD,2,0x006E,OCP_THRESHOLD,2,0x00A0,OCP_THRESHOLD,2,0x00B4,OCP_THRESHOLD,2,0x0050,,,,,,
0x20,0x47,RW,OCP_FAULT_DELAY,1,0x02,OCP_FAULT_DELAY,1,0x02,OCP_FAULT_DELAY,1,0x02,OCP_FAULT_DELAY,1,0x02,,,,,,
0x20,0x4A,RW,OCWARN_THRESHOLD,2,0x0064,OCWARN_THRESHOLD,2,0x0078,OCWARN_THRESHOLD,2,0x00A0,OCWARN_THRESHOLD,2,0x0048,,,,,,
0x20,0x4F,RW,OTP_THD,2,0x00A5,OTP_THD,2,0x00A5,OTP_THD,2,0x00A5,OTP_THD,2,0x00A5,,,,,,
0x20,0x51,RW,VRHOT_THD,2,0x0096,VRHOT_THD,2,0x0096,VRHOT_THD,2,0x0096,VRHOT_THD,2,0x0096,,,,,,
0x20,0x55,RW,VIN_OV_UV_SET,2,0xC024,PH1_VIN_OV_UV_SET,2,0x3C24,,,,,,,,,,,,
0x20,0x60,RW,TON_DELAY,2,0x0003,TON_DELAY,2,0x0003,TON_DELAY,2,0x0003,TON_DELAY,2,0x0003,,,,,,
0x20,0x64,RW,TOFF_DELAY,2,0x0003,TOFF_DELAY,2,0x0003,TOFF_DELAY,2,0x0003,TOFF_DELAY,2,0x0003,,,,,,
0x20,0x99,RW,MFR_ID,2,0x0002,,,,,,,,,,,,,,,
0x20,0x9B,RW,PRODUCT_DATA_CODE,2,0x0014,,,,,,,,,,,,,,,
0x20,0xB1,RW,,,,,,,,,,,,,MFR_TEMP_OFFSET23,2,0x0000,,,
0x20,0xB2,RW,,,,,,,,,,,,,MFR_TEMP_OFFSET45,2,0x0000,,,
0x20,0xB3,RW,,,,,,,,,,,,,MFR_TEMP_OFFSET67,2,0x0000,,,
0x20,0xB4,RW,,,,,,,,,,,,,MFR_TEMP_OFFSET89,2,0x0000,,,
0x20,0xB5,RW,,,,,,,,,,,,,MFR_CS_LPM_ITR_OTP,2,0x0300,,,
0x20,0xB6,RW,,,,,,,,,,,,,MFR_ITR_START_TEMP,2,0x0000,,,
0x20,0xB7,RW,,,,,,,,,,,,,MFR_ITR_SET1,2,0x0000,,,
0x20,0xB8,RW,,,,,,,,,,,,,MFR_ITR_SET2,2,0x0000,,,
0x20,0xB9,RW,,,,,,,,,,,,,MFR_ITR_SET3,2,0x0000,,,
0x20,0xBA,RW,,,,,,,,,,,,,MFR_ITR_SET4,2,0x0000,,,
0x20,0xBB,RW,,,,,,,,,,,,,MFR_RES,2,0x0000,,,
0x20,0xBC,RW,,,,,,,,,,,,,MFR_RES,2,0x0000,,,
0x20,0xC4,RW,MFR_SVI3_VERSION_SCALE,2,0x03A4,SVI3_CONFIG,2,0x0043,SVI3_SVC_TIME_IIN_WARN,2,0x0037,MFR_CS_OFFSET32 ,2,0x0000,,,,,,
0x20,0xC5,RW,MFR_SVI3_ID,2,0x1502,MFR_SVI3_ID,2,0x1502,MFR_SVI3_ID,2,0x1500,MFR_SVI3_ID,2,0x1500,,,,,,
0x20,0xC6,RW,MFR_SVI3_VID_SET,2,0x42AB,MFR_SVI3_VID_SET,2,0x4283,MFR_SVI3_VID_SET,2,0x4200,MFR_SVI3_VID_SET,2,0x4265,,,,,,
0x20,0xC7,RW,MFR_SVI3_SR_DECAY_LL,2,0x8A07,MFR_SVI3_SR_DECAY_LL,2,0x2A07,MFR_SVI3_SR_DECAY_LL,2,0x2A07,MFR_SVI3_SR_DECAY_LL,2,0x2A07,,,,,,
0x20,0xC8,RW,MFR_SVI3_VOUT_OFFSET_MAX,2,0x0000,MFR_SVI3_VOUT_OFFSET_MAX,2,0x0000,MFR_SVI3_VOUT_OFFSET_MAX,2,0x0000,MFR_SVI3_VOUT_OFFSET_MAX,2,0x0000,,,,,,
0x20,0xC9,RW,MFR_SVI3_VOUT_MIN_OVUV_THD,2,0x6600,MFR_SVI3_VOUT_MIN_OVUV_THD,2,0x6600,MFR_SVI3_VOUT_MIN_OVUV_THD,2,0x6600,MFR_SVI3_VOUT_MIN_OVUV_THD,2,0x6600,,,,,,
0x20,0xCA,RW,MFR_SVI3_TELEM,2,0x09C7,MFR_SVI3_TELEM,2,0x09C7,MFR_SVI3_TELEM,2,0x09C7,MFR_SVI3_TELEM,2,0x09C7,,,,,,
0x20,0xCB,RW,MFR_SVI3_PHASE_SHED_DEBUG,2,0x0011,MFR_SVI3_PHASE_SHED_DEBUG,2,0x0011,MFR_SVI3_PHASE_SHED_DEBUG,2,0x0011,MFR_SVI3_PHASE_SHED_DEBUG,2,0x0011,,,,,,
0x20,0xCC,RW,MFR_SVI3_DEBUG,2,0x8000,MFR_SVI3_DEBUG,2,0x8000,MFR_SVI3_DEBUG,2,0x8000,MFR_SVI3_DEBUG,2,0x8000,,,,,,
0x20,0xCD,RW,MFR_SVI3_IOUT_VOUT_DEBUG,2,0x0000,MFR_SVI3_IOUT_VOUT_DEBUG,2,0x0000,MFR_SVI3_IOUT_VOUT_DEBUG,2,0x0000,MFR_SVI3_IOUT_VOUT_DEBUG,2,0x0000,,,,,,
0x20,0xCE,RW,MFR_SVI3_GEN_PUR,2,0x0000,MFR_SVI3_GEN_PUR,2,0x0000,MFR_SVI3_GEN_PUR,2,0x0000,MFR_SVI3_GEN_PUR,2,0x0000,PROTECTION_STATUS1,2,0x0000,,,
